,total_strain,total_stress,Alpha_strain,Alpha_stress,Beta_strain,Beta_stress
0,0.0,2.391220611842535e-05,0.0,3.7972684795406377e-05,0.0,-3.261729740587433e-05
1,0.0001599873105953797,31931087.145549126,0.00016092812822756554,31869719.04850627,0.00015620479686478798,32177814.738383006
2,0.00031994924761472054,63883470.2566165,0.00032182925759591214,63761292.04839323,0.00031239075452931214,64374682.08595897
3,0.0004798858189555023,95856431.14124207,0.0004827026638358515,95674483.49902615,0.0004685608245332424,96587943.21264274
4,0.0006397970324826153,127847157.9434026,0.000643544638161005,127607887.17401536,0.0006247299573658176,128809134.99354966
5,0.0007996828959634947,159848627.77851152,0.0008043454335570683,159557962.13055012,0.0007809373794428088,161017235.5583966
6,0.0009595434170480813,191846658.0883754,0.000965085297881378,191517577.25838938,0.0009372625417454525,193169712.32897717
7,0.0011193786031343733,223816352.6824643,0.0011257290778231102,223474091.57545573,0.001093846813673631,225192397.61659217
8,0.0012791884612774287,255718306.5338594,0.0012862188305535112,255406843.47493067,0.0012509231871072062,256970529.3416237
9,0.0014389729984310936,287492908.11890614,0.001446476126715796,287283674.53486466,0.0014088070185553333,288334122.05608445
10,0.0015987322241991662,319076716.76591533,0.0016063989056259106,319075866.2021377,0.0015679086864882933,319080136.4182024
11,0.001758466170669786,350229334.9582006,0.0017659115363308066,350578974.26276135,0.0017285324227481454,348823626.32242244
12,0.0019181749364672069,380500830.3048774,0.0019247664788924965,381289614.3006507,0.0018916739453330301,377329560.7703647
13,0.002077858870621756,408923771.5893798,0.0020832164200771043,410174536.66287863,0.0020563190910896723,403895128.521475
14,0.0022375184772048837,434105512.4239396,0.002241434299067804,435620934.03440017,0.0022217750967065456,428012830.0027087
15,0.002397154214188399,454903837.61576974,0.0023998897641138903,456328455.9261785,0.0023861560623682086,449176225.658228
16,0.0025567661825970952,471130514.62984127,0.002558994000993599,472105385.29607433,0.002547809341881361,467211092.25250924
17,0.002716354151793127,483422628.6596371,0.002718950603450796,483704973.3185586,0.0027059152381185016,482287475.03092766
18,0.0028759180030192956,492651535.80759835,0.00287969296136069,492109925.36992776,0.0028607409577873074,494829055.4958311
19,0.0030354576353776347,499623699.32835895,0.0030410560249387523,498218764.4058205,0.0030129495693511418,505272175.13630384
20,0.003194972936928795,505166393.5316558,0.003202788489672103,502905303.7470549,0.003163550868982385,514257000.3227753
21,0.0033544641270486404,509619796.9525781,0.003364880458633409,506559749.60710615,0.0033125857481855208,521922575.62565297
22,0.003513931199972842,513347972.41034216,0.003527041062845912,509509207.8576725,0.0034612236032749047,528781547.56055117
23,0.0036733742580235106,516476519.7626936,0.003689402817764337,511919231.7684977,0.0036089321757036626,534798885.14211017
24,0.0038327934577922712,519167166.8943382,0.0038520065557174593,513946484.1193016,0.0037555480871454853,540156680.2751195
25,0.003992188462690486,521597449.95061034,0.004014634086466293,515741924.70966274,0.0039019468715263935,545139318.0725458
26,0.004151559990812502,523532451.31238216,0.004177460085133916,517068931.2049011,0.004047429860760885,549518734.6452113
27,0.004310907199705221,525467147.8047762,0.004340234217261525,518395457.04930544,0.0041929992834533756,553898553.0697052
28,0.004470230744142746,527115871.15367764,0.004503369813631451,519514075.9077966,0.004336996649593692,557678536.9786011
29,0.004629530452335811,528623099.9735716,0.004666558022820689,520483203.9436852,0.004480662819568237,561349175.0866629
30,0.004788805967463132,530067438.9430339,0.004829761226506906,521401687.5854325,0.004624147244695474,564907691.0542378
31,0.004948058307491479,531199566.75067824,0.004993266345554724,522030929.8090623,0.004766301483578597,568061647.0689416
32,0.005107286096404485,532470702.9136581,0.005156696569972619,522790728.9442723,0.004908633575115864,571388590.077299
33,0.005266490528900261,533508049.4598479,0.005320433347907288,523365565.1241037,0.00504961592262098,574285438.1373235
34,0.005425671155293308,534508342.83227575,0.005484242611916996,523888738.7826857,0.0051901873257809645,577203969.2287495
35,0.005584827484535225,535540903.6253915,0.005648056440124044,524452823.0423111,0.005330618396074563,580120018.2344221
36,0.005743960875982705,536326328.67087334,0.005812172998817045,524791219.0654085,0.0054697171943307735,582702702.7670729
37,0.0059030696380709055,537268858.3724271,0.005976213308312708,525272353.3710251,0.005608998898396636,585500251.2955052
38,0.006062155146685803,538043279.7083453,0.006140498626987298,525620617.83341676,0.00574717881141638,587988016.6104851
39,0.006221217084565761,538773376.1367136,0.00630489630054097,525915552.81135833,0.005884788671063344,590467659.5024321
40,0.006380254370939653,539631768.7555091,0.006469224029101805,526336778.7029678,0.006022555979570733,593083660.7071728
41,0.006539269122288655,540209995.847917,0.006633904546819764,526512632.3664755,0.006158791779556854,595279611.5406886
42,0.006698259160205482,541002574.2162703,0.006798437985342853,526867538.3256723,0.006295494831994203,597831831.5659376
43,0.006857225786000681,541652522.0180178,0.006963195017106231,527120604.5708573,0.006431181398688638,600077423.2903316
44,0.007016169190667921,542249646.2344655,0.007128068040952038,527310487.2618286,0.006566285043988265,602311843.2047805
45,0.0071750879680293105,542946957.6181264,0.007292904091316846,527601735.3193599,0.00670141369920761,604641713.3905193
46,0.007333984176929168,543458397.047384,0.007457991621170957,527728750.9804521,0.006835417988867445,606698710.780966
47,0.007492855487892175,544171026.268554,0.007622941264463999,528028642.69415104,0.006969851646122744,609070732.0412836
48,0.007651703738222773,544722530.4433284,0.007788118465400481,528206869.1364308,0.007103254643571154,611122982.0568908
49,0.007810528567925791,545270065.1289767,0.007953360559467357,528365742.38574886,0.007236279159016963,613233112.0523819
50,0.007969328628803335,545938321.4296098,0.00811850607130612,528636503.962928,0.007369567628097646,615499477.4847587
51,0.00812810688976676,546331171.1411916,0.008284047716382588,528682485.73378485,0.007501154016377502,617286893.6921295
52,0.008286860173728122,546924394.4229536,0.008449419835493665,528885832.37024516,0.007633296580069771,619447597.97514
53,0.008445589931816704,547472477.0402752,0.008614887858535977,529067674.58064985,0.0077649354558918015,621468133.1916364
54,0.008604297241964931,547876018.5289441,0.008780566233211157,529112326.08047587,0.007895615923867887,623314575.2639344
55,0.008762979059140667,548523822.2625844,0.008946037811211604,529373546.64993274,0.008026999822012038,625516618.7104754
56,0.008921638847185878,548923914.6333498,0.009111843762918678,529437768.5443676,0.008156928789920241,627267062.7806114
57,0.009080274651722406,549423856.8675487,0.00927758653736404,529569870.0721516,0.008286991350989164,629245891.544022
58,0.009238886143599911,549953388.3277564,0.009443339991140642,529744811.3162431,0.008416888915722322,631201036.5506904
59,0.009397475580124479,550322965.7219857,0.009609316862847906,529772301.34075934,0.008545777511131185,632945960.3762954
60,0.009556039546161136,550929805.5376147,0.009775086028424577,530007466.8479865,0.00867537330601607,635047099.5404307
61,0.009714581648699708,551279810.8427242,0.009941192821288952,530037471.3016907,0.008803501921342945,636683653.4526587
62,0.009873099378741795,551781994.9086288,0.010107171018956808,530181749.07107633,0.008932025186713342,638624783.2127495
